estratégia,faixas,AuROC faixa,rho,inversões,veredito,pares indistintos,PD f1,PD f10,lift,menor faixa em A,menor faixa em C,PSI A->C,secao
quantis (decis),10,0.7276409117038308,-0.9151515151515152,3.0,aceitável,8.0,0.296,0.037,8.0,1000.0,266.0,0.45491906936406573,estrategias
largura igual em log-odds,10,0.7218051224879661,-0.9999999999999999,0.0,monotônica,6.0,0.7142857142857143,0.024390243902439025,29.285714285714285,7.0,8.0,0.4681172955699576,estrategias
caudas finas,10,0.7289275777265046,-0.9272727272727272,1.0,monotônica,5.0,0.475,0.04,11.875,200.0,141.0,0.4663815440386222,estrategias
progressiva,10,0.7296731841909259,-0.9878787878787878,1.0,monotônica,7.0,0.42,0.0335,12.53731343283582,300.0,320.0,0.46430225922129664,estrategias
PD fixa de negócio,10,0.7297090128909419,-0.9636363636363635,2.0,aceitável,6.0,0.4201954397394137,0.025,16.807817589576548,40.0,8.0,0.462276843428051,estrategias
5 faixas,5,0.7153680973337113,-0.8999999999999998,1.0,,1.0,,,,,568.0,0.35901130389477154,granularidade
10 faixas,10,0.7276409117038308,-0.9151515151515152,3.0,,8.0,,,,,266.0,0.45491906936406573,granularidade
20 faixas,20,0.7310720210976277,-0.9043684954830711,9.0,,17.0,,,,,131.0,0.476225978310909,granularidade
PD contínua,10000,0.7325702282110036,,,,,,,,,,,granularidade
