modelo,AUC treino,AUC OOT,queda,Gini OOT,KS OOT,Brier OOT,viés OOT
Regressão logística,0.6657683420239218,0.6520942837147665,0.013674058309155246,0.30418856742953304,0.243537385498999,0.06482549000886904,0.014946071369258587
Árvore de decisão,0.735123102589085,0.7044334408574495,0.030689661731635454,0.40886688171489904,0.30484778998008794,0.06443116028912986,0.013754693432269857
Random Forest,0.9212268334602453,0.735251079866098,0.1859757535941473,0.4705021597321959,0.37375888156870596,0.06187754146141792,0.015235635405541556
HistGB padrão,0.9982493731658116,0.7096686425294654,0.28858073063634626,0.41933728505893075,0.33349080675574516,0.06453993645289235,-0.0006977736278981628
HistGB regularizado,0.8116702481095555,0.7409620859046848,0.07070816220487064,0.48192417180936964,0.3756350262403062,0.06164111595026767,0.015146753967989368
