conjunto,n,2022 -> 2023-S1,2022 -> 2023,2022+23-S1 -> 2023-S2,média,OOT 2024
17 (atual),17,0.717109719966373,0.7227618684322862,0.7279358504810193,0.7226024796265595,0.7433823937494333
18 (com ano_modelo),18,0.717109719966373,0.7227618684322862,0.7279358504810193,0.7226024796265595,0.7433823937494333
15 sem valor_bem e ltv,15,0.71419185282523,0.7210089643333969,0.7298589077850665,0.7216865749812311,0.748584431247961
11 sem as de importância ~0,11,0.7133715852792583,0.7200087645204944,0.7303128921353588,0.7212310806450372,0.7517587164246585
7 principais,7,0.7204887325438089,0.7126667756555226,0.7148825251731772,0.7160126777908363,0.7546054207856797
